,"en","de","es","fr","ko","pl","pt","ru","zh","ja"
"Title","More City Statistics","Mehr Städtestatistiken","Más estadísticas de la ciudad","Plus de statistiques sur la ville","더 많은 도시 통계","Więcej statystyk miast","Mais estatísticas da cidade","Дополнительная городская статистика","更多城市统计","もっと市の統計"
"Description","Record and graph more city statistics","Mehr Stadtstatistiken aufzeichnen und grafisch darstellen","Registra y representa gráficamente más estadísticas de la ciudad","Enregistrez et tracez plus de statistiques sur la ville","더 많은 도시 통계 기록 및 그래프 작성","Rejestruj i wykresuj więcej statystyk miasta","Registre e represente graficamente mais estatísticas da cidade","Записывайте и отображайте больше статистики города","记录和绘制更多城市统计数据","より多くの都市統計を記録してグラフ化する"
"ExpandAll","Expand all","Alle erweitern","Expandir todo","Développer tout","모두 펼치기","Rozwiń wszystkie","Expandir todos","Расширить все","展开全部","すべて展開"
"CollapseAll","Collapse all","Alles ausblenden","Colapso todo","Tout réduire","모든 축소","Zwinąć wszystkie","Colapso todos","Свернуть все","全部收缩","全て折り畳む"
"Selected","Selected: {0}/{1}","Ausgewählt: {0}/{1}","Seleccionado: {0}/{1}","Sélectionné: {0}/{1}","선택됨: {0}/{1}","Wybrane: {0}/{1}","Selecionado: {0}/{1}","Выбрано: {0}/{1}","已选择：{0}/{1}","選択済み: {0}/{1}"
"DeselectAll","Deselect all","Alle abwählen","Deseleccionar todo","Tout déselectionner","모두 선택 해제","Odznacz wszystkie","Desmarcar todos","Снять все","取消全选","選択を全解除"
"YearsToShow","Years to show:","Jahre zu zeigen:","Años para mostrar:","Années à afficher:","보여줄 년:","Lata do pokazania:","Anos para mostrar:","Годы, чтобы показать:","显示年份：","表示する年："
"DatesToShow","Dates to show:","Termine zu zeigen:","Fechas para mostrar:","Dates à afficher :","표시 날짜:","Daty do pokazania:","Datas para mostrar:","Даты показа:","显示日期：","表示する日付:"
"All","All","Alle","Todos","Tout","모두","Wszystko","Tudo","Все","全部","全期間"
"FromTo","From to","Von bis","Desde hasta","De à","범위","Od do","De para","С до","从到","指定期間"
"General","General","Allgemein","General","Général","기본","Ogólny","Geral","Общий","基本的","全般"
"ChooseYourLanguage","Choose your language:","Wähle deine Sprache:","Elige tu idioma:","Choisissez votre langue:","당신의 언어를 선택하세요:","Wybierz swój język:","Escolha o seu idioma:","Выберите ваш язык:","选择你的语言：","言語を選択してください："
"GameLanguage","Game language","Spielsprache","Idioma del juego","Langue du jeu","게임 언어","Język gry","Linguagem do Jogo","Язык игры","游戏语言","ゲームの言語"
"LanguageName","English","Deutsch","Español","Français","한국어","Polski","Português","Русский","中文 (简体)","日本語"
"InGame","In Game","Im Spiel","En el juego","Dans le jeu","게임 내","W grze","No jogo","В игре","在游戏中","ゲームで"
"DeleteSnapshots","Delete snapshots","Schnappschüsse löschen","Eliminar instantáneas","Supprimer les instantanés","스냅샷 삭제","Usuń migawki","Excluir instantâneos","Удалить снимки","删除快照","スナップショットを削除"
"SaveSettingsAndSnapshots","Save settings and snapshots with the game","Einstellungen und Schnappschüsse mit dem Spiel speichern","Guarda configuraciones e instantáneas con el juego","Enregistrez les paramètres et les instantanés avec le jeu","게임과 함께 설정 및 스냅샷 저장","Zapisuj ustawienia i migawki w grze","Salve as configurações e instantâneos com o jogo","Сохранение настроек и снимков в игре","在游戏中保存设置和快照","ゲームで設定とスナップショットを保存する"
"OptionValidOnlyInGame","The option can be used only in the game.","Die Option kann nur im Spiel verwendet werden.","La opción solo se puede usar en el juego.","L'option ne peut être utilisée que dans le jeu.","이 옵션은 게임 내에서만 사용할 수 있습니다.","Z opcji można skorzystać tylko w grze.","A opção pode ser usada apenas no jogo.","Опцию можно использовать только в игре.","该选项只能在游戏中使用。","このオプションはゲームでのみ使用できます。"
"Month1","Jan","Jan","ene","janv.","1월","sty","jan","янв","一月","1月"
"Month2","Feb","Feb","feb","févr.","2월","lut","fev","фев","二月","2月"
"Month3","Mar","Mrz","mar","mars","3월","mar","mar","мар","三月","3月"
"Month4","Apr","Apr","abr","avr.","4월","kwi","abr","апр","四月","4月"
"Month5","May","Mai","may","mai","5월","maj","mai","май","五月","5月"
"Month6","Jun","Jun","jun","juin","6월","cze","jun","июн","六月","6月"
"Month7","Jul","Jul","jul","juil.","7월","lip","jul","июл","七月","7月"
"Month8","Aug","Aug","ago","août","8월","sie","ago","авг","八月","8月"
"Month9","Sep","Sep","sep","sept.","9월","wrz","set","сен","九月","9月"
"Month10","Oct","Okt","oct","oct.","10월","paź","out","окт","十月","10月"
"Month11","Nov","Nov","nov","nov.","11월","lis","nov","ноя","十一月","11月"
"Month12","Dec","Dez","dic","déc.","12월","gru","dez","дек","十二月","12月"
