,"en","de","es","fr","ko","pl","pt","ru","zh","ja"
"Electricity","Electricity","Elektrizität","Electricidad","Électricité","전기학","Elektryczność","Eletricidade","Электричество","电力","電力"
"Water","Water","Wasser","Agua","Eau","물","Woda","Água","Воды","水","水道"
"WaterTank","Water Tank","Wassertank","Depósito de agua","Réservoir d'eau","물 탱크","Zbiornik wodny","Tanque de água","Водный танк","水缸","貯水タンク"
"Sewage","Sewage","Abwasser","Aguas residuales","Eaux usées","하수 오물","Ścieki","Esgoto","Канализация","污水","汚水処理"
"Landfill","Landfill","Mülldeponie ","Relleno sanitario","Décharge","매립","Składowisko","Aterro","Свалка","垃圾填埋场","埋立地"
"Garbage","Garbage","Müll","Basura","Déchets","쓰레기","Śmieci","Lixo","Отходы","垃圾","焼却場"
"Education","Education","Bildung","Educación","Éducation","교육","Edukacja","Educação","Образование","教育","教育"
"EducationLevel","Education Level","Bildungsniveau","Nivel de Educación","niveau d'éducation","교육 수준","Poziom edukacji","Nível de educação","Уровень образования","教育程度","教育レベル"
"Happiness","Happiness","Zufriedenheit","Felicidad","Bonheur","행복도","Zadowolenie","Felicidade","Счастье","幸福度","幸福度"
"Healthcare","Healthcare","Gesundheitswesen","Atención médica","Soins de santé","의료","Opieka zdrowotna","Serviços de saúde","Здравоохранение","卫生保健","健康管理"
"Deathcare","Deathcare","Bestattungswesen","Servicio funerario","Soins de la mort","장례 관리","Opieka nad śmiercią","Serviços funerários","Ритуальные услуги","殡葬服务","葬儀"
"Childcare","Childcare","Kinderbetreuung","Cuidado de niños","Garde d'enfants","아동 보건","Opieka nad dziećmi","Cuidado Infantil","Уход за детьми","儿童护理","小児医療"
"Eldercare","Eldercare","Altersheim","Cuidado de ancianos","Soins aux personnes âgées","노인 보건","Opieka nad seniorami","Centro de Geriatria","Уход за пожилыми","老年护理","老人医療"
"Zoning","Zoning","Zoneneinteilung","Zonificación","Zonage","지대 설정","Podział na strefy","Zoneamento","Зонирование","区域划分","ゾーニング"
"ZoneLevel","Zone Level","Zonenebene","Nivel de zona","Niveau de zone","구역화 수준","Poziom strefy","Nível de Zona","Уровень зоны","区域级别","区画のレベル"
